provinces_city_map,cities_english,cities_french,provinces_english,provinces_french,CWEC2020.zip
6,LOURDES DE BLANC SABLON,LOURDES DE BLANC SABLON,QUEBEC,QUÉBEC,CAN_QC_Lourdes.De.Blanc.Sablon.AP.718080_CWEC2020.zip
6,MANIWAKI AIRPORT,MANIWAKI AIRPORT,QUEBEC,QUÉBEC,CAN_QC_Maniwaki.Airport.717210_CWEC2020.zip
6,MANOUANE,MANOUANE,QUEBEC,QUÉBEC,CAN_QC_Manouane.Est.715210_CWEC2020.zip
6,MATAGAMI,MATAGAMI,QUEBEC,QUÉBEC,CAN_QC_Matagami.AP.719470_CWEC2020.zip
6,MCTAVISH,MCTAVISH,QUEBEC,QUÉBEC,CAN_QC_Mctavish.716120_CWEC2020.zip
6,MONT JOLI,MONT JOLI,QUEBEC,QUÉBEC,CAN_QC_Mont.Joli.AP.717180_CWEC2020.zip
6,MONT-JOLI,MONT-JOLI,QUEBEC,QUÉBEC,CAN_QC_Mont.Joli.AP.717180_CWEC2020.zip
6,MONTREAL INTL,MONTRÉAL INTL,QUEBEC,QUÉBEC,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip
6,MONTREAL,MONTRÉAL,QUEBEC,QUÉBEC,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip
6,MONTREAL MIRABEL  INTL,MONTRÉAL MIRABEL  INTL,QUEBEC,QUÉBEC,CAN_QC_Montreal.Mirabel.Intl.AP.CAN002_CWEC2020.zip
6,MONTREAL MIRABEL,MONTRÉAL MIRABEL,QUEBEC,QUÉBEC,CAN_QC_Montreal.Mirabel.Intl.AP.CAN002_CWEC2020.zip
6,MONTREAL-ST-HUBERT,MONTRÉAL-ST-HUBERT,QUEBEC,QUÉBEC,CAN_QC_Montreal.St.Hubert.713710_CWEC2020.zip
6,ST-HUBERT,ST-HUBERT,QUEBEC,QUÉBEC,CAN_QC_Montreal.St.Hubert.713710_CWEC2020.zip
6,NATASHQUAN,NATASHQUAN,QUEBEC,QUÉBEC,CAN_QC_Natashquan.AP.718130_CWEC2020.zip
6,NEW CARLISLE,NEW CARLISLE,QUEBEC,QUÉBEC,CAN_QC_New.Carlisle.716190_CWEC2020.zip
6,NICOLET,NICOLET,QUEBEC,QUÉBEC,CAN_QC_Nicolet.717230_CWEC2020.zip
6,NORMANDIN,NORMANDIN,QUEBEC,QUÉBEC,CAN_QC_Normandin.713790_CWEC2020.zip
6,POINTE CLAVEAU,POINTE CLAVEAU,QUEBEC,QUÉBEC,CAN_QC_Pointe.Claveau.711890_CWEC2020.zip
6,POINTE DE L'ISLET,POINTE DE L'ISLET,QUEBEC,QUÉBEC,CAN_QC_Pointe.De.Lislet.711900_CWEC2020.zip
6,POINTE NOIRE,POINTE NOIRE,QUEBEC,QUÉBEC,CAN_QC_Pointe.Noire.CS.713900_CWEC2020.zip
6,POINTE-AU-PERE,POINTE-AU-PÈRE,QUEBEC,QUÉBEC,CAN_QC_Pointe.Au.Pere.Inrs.715540_CWEC2020.zip
6,POINTE-DES-MONTS,POINTE-DES-MONTS,QUEBEC,QUÉBEC,CAN_QC_Pointe.Des.Monts.714270_CWEC2020.zip
6,QUEBEC INTL,QUÉBEC INTL,QUEBEC,QUÉBEC,CAN_QC_Quebec.Intl.AP.717140_CWEC2020.zip
6,QUEBEC,QUÉBEC,QUEBEC,QUÉBEC,CAN_QC_Quebec.Intl.AP.717140_CWEC2020.zip
6,RIVIERE-DU-LOUP,RIVIERE-DU-LOUP,QUEBEC,QUÉBEC,CAN_QC_Riviere.Du.Loup.717150_CWEC2020.zip
6,ROBERVAL,ROBERVAL,QUEBEC,QUÉBEC,CAN_QC_Roberval.AP.717280_CWEC2020.zip
6,ROUYN,ROUYN,QUEBEC,QUÉBEC,CAN_QC_Rouyn.717340_CWEC2020.zip
6,ROUYN-NORANDA,ROUYN-NORANDA,QUEBEC,QUÉBEC,CAN_QC_Rouyn.Noranda.AP.717255_CWEC2020.zip
6,SCHEFFERVILLE,SCHEFFERVILLE,QUEBEC,QUÉBEC,CAN_QC_Schefferville.AP.719210_CWEC2020.zip
6,SEPT-ILES,SEPT-ÎLES,QUEBEC,QUÉBEC,CAN_QC_Sept.Iles.AP.718110_CWEC2020.zip
6,SEPT ILES,SEPT ILES,QUEBEC,QUÉBEC,CAN_QC_Sept.Iles.AP.718110_CWEC2020.zip
6,ST-ANICET,ST-ANICET,QUEBEC,QUÉBEC,CAN_QC_St.Anicet.717120_CWEC2020.zip
6,STE-ANNE-DE-BELLEVUE,STE-ANNE-DE-BELLEVUE,QUEBEC,QUÉBEC,CAN_QC_Ste.Anne.De.Bellevue.713770_CWEC2020.zip
6,STE-CLOTHILDE,STE-CLOTHILDE,QUEBEC,QUÉBEC,CAN_QC_Ste.Clothilde.716140_CWEC2020.zip
6,STE-FOY,STE-FOY,QUEBEC,QUÉBEC,CAN_QC_Rouyn.717340_CWEC2020.zip
6,ST-JOVITE,ST-JOVITE,QUEBEC,QUÉBEC,CAN_QC_St.Jovite.713760_CWEC2020.zip
6,VAL-D'OR,VAL-D'OR,QUEBEC,QUÉBEC,CAN_QC_Val.Dor.717250_CWEC2020.zip
6,VAL D'OR,VAL D'OR,QUEBEC,QUÉBEC,CAN_QC_Val.Dor.717250_CWEC2020.zip
6,LA GRANDE RIVIERE,LA GRANDE RIVIERE,QUEBEC,QUÉBEC,CAN_QC_La.Grande.Riviere.AP.718270_CWEC.zip
6,SHERBROOKE,SHERBROOKE,QUEBEC,QUÉBEC,CAN_QC_Sherbrooke.AP.716100_CWEC.zip
6,STE-AGATHE-DES-MONTS,STE-AGATHE-DES-MONTS,QUEBEC,QUÉBEC,CAN_QC_Sainte-Agathe-des-Monts.717200_CWEC.zip
9,CHARLOTTETOWN,CHARLOTTETOWN,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,CAN_PE_Charlottetown.AP.717060_CWEC2020.zip
9,EAST POINT,EAST POINT,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,CAN_PE_East.Point.AUT.714120_CWEC2020.zip
9,NORTH CAPE,NORTH CAPE,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,CAN_PE_North.Cape.719870_CWEC2020.zip
9,SUMMERSIDE,SUMMERSIDE,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,CAN_PE_Summerside.717020_CWEC2020.zip
10,BADGER,BADGER,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Badger.AUT.714000_CWEC2020.zip
10,BONAVISTA,BONAVISTA,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Bonavista.711780_CWEC2020.zip
10,BURGEO,BURGEO,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Burgeo.Nl.711520_CWEC2020.zip
10,CARTWRIGHT,CARTWRIGHT,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Cartwright.AP.718180_CWEC2020.zip
10,CHURCHILL FALLS,CHURCHILL FALLS,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Churchill.Falls.710020_CWEC2020.zip
10,CORNER BROOK,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Corner.Brook.719730_CWEC2020.zip
10,DANIELS HARBOUR,DANIELS HARBOUR,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Daniels.Harbour.711850_CWEC2020.zip
10,DEER LAKE,DEER LAKE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Deer.Lake.AP.718090_CWEC2020.zip
10,GANDER INTL,GANDER INTL,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Gander.Intl.AP.718030_CWEC2020.zip
10,GOOSE,GOOSE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Goose.AP.718160_CWEC2020.zip
10,LA SCIE,LA SCIE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_La.Scie.713370_CWEC2020.zip
10,MARY'S HARBOUR,MARY'S HARBOUR,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Marys.Harbour.AP.713390_CWEC2020.zip
10,ST-LAWRENCE,ST-LAWRENCE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_St.Lawrence.711100_CWEC2020.zip
10,ST-JOHN'S INTL,ST-JOHN'S INTL,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_St.Johns.Intl.AP.718010_CWEC2020.zip
10,STEPHENVILLE,STEPHENVILLE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Stephenville.AP.718150_CWEC2020.zip
10,TWILLINGATE,TWILLINGATE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Twillingate.AUT.714020_CWEC2020.zip
10,WABUSH,WABUSH,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Wabush.AP.718250_CWEC2020.zip
10,WRECKHOUSE,WRECKHOUSE,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,CAN_NL_Wreckhouse.711800_CWEC2020.zip
11,BURWASH,BURWASH,YUKON,YUKON,CAN_YT_Burwash.AP.710010_CWEC2020.zip
11,CARMACKS,CARMACKS,YUKON,YUKON,CAN_YT_Carmacks.CS.710390_CWEC2020.zip
11,DAWSON,DAWSON,YUKON,YUKON,CAN_YT_Dawson.719660_CWEC2020.zip
11,FARO,FARO,YUKON,YUKON,CAN_YT_Faro.AUT.719490_CWEC2020.zip
11,HAINES JUNCTION,HAINES JUNCTION,YUKON,YUKON,CAN_YT_Haines.Junction.715050_CWEC2020.zip
11,HERSCHEL ISLAND,HERSCHEL ISLAND,YUKON,YUKON,CAN_YT_Herschel.Island.715010_CWEC2020.zip
11,IVVAVIK NAT. PARK,IVVAVIK NAT. PARK,YUKON,YUKON,CAN_YT_Ivvavik.Nat.Park.719780_CWEC2020.zip
11,MACMILLAN PASS,MACMILLAN PASS,YUKON,YUKON,CAN_YT_Macmillan.Pass.719900_CWEC2020.zip
11,MAYO,MAYO,YUKON,YUKON,CAN_YT_Mayo.AP.719650_CWEC2020.zip
11,OLD CROW,OLD CROW,YUKON,YUKON,CAN_YT_Old.Crow.RCS.710440_CWEC2020.zip
11,TESLIN,TESLIN,YUKON,YUKON,CAN_YT_Teslin.AUT.710450_CWEC2020.zip
11,WATSON LAKE,WATSON LAKE,YUKON,YUKON,CAN_YT_Watson.Lake.AP.711990_CWEC2020.zip
11,WHITEHORSE,WHITEHORSE,YUKON,YUKON,CAN_YT_Whitehorse.AP.719640_CWEC2020.zip
12,DEADMEN VALLEY,DEADMEN VALLEY,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Deadmen.Valley.710210_CWEC2020.zip
12,DELINE,DELINE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Deline.CS.715030_CWEC2020.zip
12,FORT GOOD HOPE,FORT GOOD HOPE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Good.Hope.CS.714910_CWEC2020.zip
12,FORT LIARD,FORT LIARD,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Liard.714970_CWEC2020.zip
12,FORT PROVIDENCE,FORT PROVIDENCE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Providence.710870_CWEC2020.zip
12,FORT RELIANCE,FORT RELIANCE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Reliance.AUT.711600_CWEC2020.zip
12,FORT SIMPSON,FORT SIMPSON,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Simpson.AP.719460_CWEC2020.zip
12,FORT SMITH,FORT SMITH,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Fort.Smith.AP.719340_CWEC2020.zip
12,HAY RIVER,HAY RIVER,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Hay.River.AP.719350_CWEC2020.zip
12,HOLMAN,HOLMAN,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Holman.CS.710290_CWEC2020.zip
12,INNER WHALEBACKS,INNER WHALEBACKS,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Inner.Whalebacks.711620_CWEC2020.zip
12,INUVIK,INUVIK,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Inuvik.AP.719570_CWEC2020.zip
12,KEATS POINT,KEATS POINT,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Keats.Point.710580_CWEC2020.zip
12,LAC LA MARTRE,LAC LA MARTRE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Lac.La.Martre.711630_CWEC2020.zip
12,LINDBURG LANDING,LINDBURG LANDING,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Lindburg.Landing.716820_CWEC2020.zip
12,LITTLE CHICAGO,LITTLE CHICAGO,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Little.Chicago.711640_CWEC2020.zip
12,LIVERPOOL BAY,LIVERPOOL BAY,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Liverpool.Bay.719600_CWEC2020.zip
12,LOWER CARP LAKE,LOWER CARP LAKE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Lower.Carp.Lake.716800_CWEC2020.zip
12,LUTSELK'E,LUTSELK'E,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Lutselke.CS.715290_CWEC2020.zip
12,MOULD BAY,MOULD BAY,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Mould.Bay.CS.719890_CWEC2020.zip
12,NORMAN WELLS,NORMAN WELLS,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Norman.Wells.AP.710430_CWEC2020.zip
12,PAULATUK,PAULATUK,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Paulatuk.719840_CWEC2020.zip
12,PELLY ISLAND,PELLY ISLAND,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Pelly.Island.715020_CWEC2020.zip
12,RABBIT KETTLE,RABBIT KETTLE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Rabbit.Kettle.719800_CWEC2020.zip
12,SACHS HARBOUR CLIMATE,SACHS HARBOUR CLIMATE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Sachs.Harbour.Climate.714670_CWEC2020.zip
12,STORM HILLS,STORM HILLS,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Storm.Hills.710520_CWEC2020.zip
12,TRAIL VALLEY,TRAIL VALLEY,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Trail.Valley.716830_CWEC2020.zip
12,TUKTOYAKTUK,TUKTOYAKTUK,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Tuktoyaktuk.719850_CWEC2020.zip
12,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Yellowknife.AP.719360_CWEC2020.zip
12,YOHIN,YOHIN,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST,CAN_NT_Yohin.710200_CWEC2020.zip
13,ALERT CLIMATE,ALERT CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Alert.Climate.713550_CWEC2020.zip
13,ARCTIC BAY,ARCTIC BAY,NUNAVUT,NUNAVUT,CAN_NU_Arctic.Bay.CS.715920_CWEC2020.zip
13,ARVIAT CLIMATE,ARVIAT CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Arviat.Climate.713220_CWEC2020.zip
13,BAKER LAKE,BAKER LAKE,NUNAVUT,NUNAVUT,CAN_NU_Baker.Lake.AP.719260_CWEC2020.zip
13,BREVOORT ISLAND,BREVOORT ISLAND,NUNAVUT,NUNAVUT,CAN_NU_Brevoort.Island.710970_CWEC2020.zip
13,BROUGHTON ISLAND,BROUGHTON ISLAND,NUNAVUT,NUNAVUT,CAN_NU_Broughton.Island.710960_CWEC2020.zip
13,CAMBRIDGE BAY,CAMBRIDGE BAY,NUNAVUT,NUNAVUT,CAN_NU_Cambridge.Bay.AP.719250_CWEC2020.zip
13,CAPE DORSET CLIMATE,CAPE DORSET CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Cape.Dorset.Climate.715750_CWEC2020.zip
13,CAPE DYER,CAPE DYER,NUNAVUT,NUNAVUT,CAN_NU_Cape.Dyer.710940_CWEC2020.zip
13,CAPE HOOPER,CAPE HOOPER,NUNAVUT,NUNAVUT,CAN_NU_Cape.Hooper.710930_CWEC2020.zip
13,CAPE MERCY,CAPE MERCY,NUNAVUT,NUNAVUT,CAN_NU_Cape.Mercy.719750_CWEC2020.zip
13,CLYDE RIVER CLIMATE,CLYDE RIVER CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Clyde.River.Climate.713580_CWEC2020.zip
13,CORAL HARBOUR,CORAL HARBOUR,NUNAVUT,NUNAVUT,CAN_NU_Coral.Harbour.AP.719150_CWEC2020.zip
13,DEWAR LAKES,DEWAR LAKES,NUNAVUT,NUNAVUT,CAN_NU_Dewar.Lakes.710920_CWEC2020.zip
13,ENNADAI LAKE,ENNADAI LAKE,NUNAVUT,NUNAVUT,CAN_NU_Ennadai.Lake.AUT.719230_CWEC2020.zip
13,EUREKA,EUREKA,NUNAVUT,NUNAVUT,CAN_NU_Eureka.AP.719170_CWEC2020.zip
13,GJOA HAVEN CLIMATE,GJOA HAVEN CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Gjoa.Haven.Climate.713630_CWEC2020.zip
13,HALL BEACH,HALL BEACH,NUNAVUT,NUNAVUT,CAN_NU_Hall.Beach.AP.712930_CWEC2020.zip
13,HAT ISLAND,HAT ISLAND,NUNAVUT,NUNAVUT,CAN_NU_Hat.Island.710840_CWEC2020.zip
13,IQALUIT,IQALUIT,NUNAVUT,NUNAVUT,CAN_NU_Iqaluit.AP.719090_CWEC2020.zip
13,ISACHSEN,ISACHSEN,NUNAVUT,NUNAVUT,CAN_NU_Isachsen.AUT.710740_CWEC2020.zip
13,KUGAARUK CLIMATE,KUGAARUK CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Kugaaruk.Climate.714070_CWEC2020.zip
13,KUGLUKTUK,KUGLUKTUK,NUNAVUT,NUNAVUT,CAN_NU_Kugluktuk.AP.719380_CWEC2020.zip
13,LONGSTAFF BLUFF,LONGSTAFF BLUFF,NUNAVUT,NUNAVUT,CAN_NU_Longstaff.Bluff.710910_CWEC2020.zip
13,LUPIN,LUPIN,NUNAVUT,NUNAVUT,CAN_NU_Lupin.CS.714700_CWEC2020.zip
13,PANGNIRTUNG,PANGNIRTUNG,NUNAVUT,NUNAVUT,CAN_NU_Pangnirtung.AP.718260_CWEC2020.zip
13,POND INLET,POND INLET,NUNAVUT,NUNAVUT,CAN_NU_Pond.Inlet.AP.710950_CWEC2020.zip
13,QIKIQTARJUAQ CLIMATE,QIKIQTARJUAQ CLIMATE,NUNAVUT,NUNAVUT,CAN_NU_Qikiqtarjuaq.Climate.713570_CWEC2020.zip
13,RANKIN INLET,RANKIN INLET,NUNAVUT,NUNAVUT,CAN_NU_Rankin.Inlet.AP.710830_CWEC2020.zip
13,REA POINT,REA POINT,NUNAVUT,NUNAVUT,CAN_NU_Rea.Point.719830_CWEC2020.zip
13,RESOLUTE BAY,RESOLUTE BAY,NUNAVUT,NUNAVUT,CAN_NU_Resolute.Bay.AP.719240_CWEC2020.zip
13,RESOLUTION ISLAND,RESOLUTION ISLAND,NUNAVUT,NUNAVUT,CAN_NU_Resolution.Island.719720_CWEC2020.zip
13,ROWLEY ISLAND,ROWLEY ISLAND,NUNAVUT,NUNAVUT,CAN_NU_Rowley.Island.710880_CWEC2020.zip
13,SHEPHERD BAY,SHEPHERD BAY,NUNAVUT,NUNAVUT,CAN_NU_Shepherd.Bay.AP.719110_CWEC2020.zip
13,TALOYOAK,TALOYOAK,NUNAVUT,NUNAVUT,CAN_NU_Taloyoak.AP.715800_CWEC2020.zip